label,title
0,536 537 7 128 298 10 2083 495
1,380 1590 7 805 128 298 2 79 431 359 146
1,1 219 5 35 1310 331 806 3004 2084
1,1 197 199 149 934 214 2085 139 1089 25 62 1591 23 3
1,381 1
1,2086 546 1 32 271 588 5 58 3005 127 19
1,1 547 1090 1091 83 3
1,157 13 1311 227 215 403 1592 37 201 125 1092 13 3 3006 35 2087 6
1,17 3007 3008 18 175 641 17 3009 1 18 175
1,201 114 26 176 548 183 1093 64 62 187 86 20 13 2088 1094 935
1,64 26 74 2089 1 2090 589 404 332 47 6
0,1095 179 2 1 807 169 2091 29 936
0,4 28 549 249 190 496 360 590 1 29 2 225 3010
0,106 401 3011 18 5 25 2092 296 159 1096 179 23
0,1593 714 438 1 67 3
0,2093 1594 98 92 715 53 808 299 1595
1,3012 795 937 1 17 2094 228 2 31 5 58 637 3013 2095
1,72 202 2 1596 196 716 1597 73 1 24 3014 18
1,2096 789 809
1,72 5 35 73 10 1598 272 2097
1,51 1 29 938 1599 3
1,2098 283 229 591 2099 358 463 103 76 11 3015
1,38 1312 2100 3 333 1313 6
1,144 17 111 4 1 29 939
1,4 90 174 71 38 1600 27 268 61 3
1,402 10 940 5 54 334 118 3016 110 382 3
1,170 31 1 8 3017 10 361 11 8 153 642 1 32
1,4 1600 27 202 24 70 3018 497 3019
1,35 27 2 1 9 2101 542 216 18 65 1097 1098
1,1 41 205 1314 2102 4 121 2 3020 3021 1315 7 205 941 1 112 498 4 121 942 3022 362 3 549 3023 810 3024 2 3025 6
1,118 1099 202 206 126 2103 87 155 38 1316 18 6
1,2104 3026 177 1317 314 581 401 2105 1 58 261 460 943 3027 811 25 249 1 23
1,1 944 77 170 812 22 3028 3029 20
1,790 2 2106 3
1,5 35 2 63 499 47 8 2107 3030 65 1601 58 38 72 68 73
1,1 335 140 3031 24 1100
0,1 1602 3032 1603 5 35 2 1318 3033 643 11
0,1 29 813 1604
0,5 3034 60 69 3
0,592 168 1 24 1101 3035
0,1 59 3036 1605 1606 6
1,4 28 221 785 325 2 717 1102 913 84
1,10 18 497 945 2 3037 377 1076 97 2 3038 331 2 166 2108
1,500 10 5 35 60 69 42 72 946 73
1,5 35 60 69 217 22 947 814 815 20 194 45 66 3
1,1319 90 816 5
1,1 817 293 60 5 35 36 207 61
1,1319 90 262 363 11 19
1,26 3039 2 1103 26 3040 550 78 1104 358 168 92 1 59 18 6 65 3041 818 147 3042 459 6
1,116 9 199 1 32 3043 1320 15
1,160 5 118 434 22 501 125 168 20 40
1,215 2109 3044 3 1 197 2 241 819 2110 5 35 3
1,312 230 9 3045 2111 3046 3047 14 818 405 502
1,10 5 136 1321
1,314 1322 430 3048 430 3049 718 5 24 31 200 26 464 93 21 6
1,5 35 293 60 2 429 503 42 383 2112 6
1,1105 1 551 3050 182 218 2113
1,160 336 11 18 1089 3051 948
1,1 9 75 454 83 2114 7 1607 357
1,279 1 216 1608 2 790 2 1608 13 12
1,258 4 28 76 250 3052 138 123 504 10 2115 552 136 644 3053 121
1,1323 7 3054 90 16 3055 809 2 17 3056 1106 553 149 1609
1,499 47 36 207
1,270 165 460 41 189 3057 36 207
1,820 90 5 384 243 3058
1,285 5 2 1319 90 187 437 55 269 3
0,196 820 90 271 79 300 593 55 269 2 213 1324 645
0,110 949 5 35 60 4 81 2 119 167 45 6
0,5 35 60 69 157 44 505 646 262 3059 40 15 15
0,71 123 1 9 36 207 3
0,37 1610 161 3 200 26 797 1325 6 25 94 160 1 64 1326 161 23
1,4 28 204 42 821 43 644 34 822 4 81
1,1 2116 3060 95 2117 63 715 4 8 3061 3062 1594 2118
1,820 90 547 594
1,4 28 180 21 12 2 1611 1327 10 1328 3063
1,3064 196 207
0,1 3065 149 244 123 29 154 22 217 647 3 20
0,2119 9 4 136
0,1329 1 66 6 359 1612 231 61 3
0,3066 1588 45 66 87 3067 1587 1606
0,364 583 4 28 250 2 38 68
1,821 3068 2 1613 719 1614 648
1,160 4 28 250 64 245 10 1615 250 64 221 67
1,1 162 5 35 60 137 4 2 21 2 222 45 100
1,140 406 337 37 144 1 2 64 823 6
1,1 816 824 546 1616 1617 1 32 465 2 3069 127 590
1,363 3070 802 439 3071 131 53 24 22 4 107 311 99 3072 3 131 2120 88 2121 950 20
1,4 435 11 94 79 338 2122 3073 644 56
1,1618 43 53 1 407 3074 1102 325
1,3075 7 207 3076 1330 13
1,10 5 35 132 286 280
0,1 74 595 3077 333 6
0,5 35 293 60 69 82 3
0,2123 179 454 13 147 2 155 1 93 80 27 202 3
0,1 3078 2124 205 649 1619 650 3079 2125 205
0,36 7 2126 825 74 339 1331 218 3080
0,820 90 1107 1332 267 240 35 141 951 809
0,1 114 74 17 137 228 1319 90
0,1 1620 461 1621 583 385 218 9 952 3081 287
0,2127 429 191 215 1622 227 5 35
0,3082 16 1108 246 258 5 35 60
0,1070 13 1109 251 108 3083 824 315 2128 6
0,3084 296 332 1333 1334 93 3
0,21 12 2129 20 785 17 3085 408 138 140 2130 17 3086 3087 3088
0,4 28 1110 288 720 128 1335 2 596 3089 545 425
0,70 273 399 58 5 6
0,4 28 54 501 171 229 301 2131 225 554 63 4 3090 8 1623
0,64 581 1 64 217 124 239 267 97 2132 166 226 15
0,1 8 45 66 953 3091 3092 1111 4
0,954 581 15
0,435 581 15
0,26 139 325 463 555 58 6 15
0,205 498 1 651 93 18 1109 941
0,2133 1 29 302 409
0,1 1336 2134 2135 44 1 158 3093 2 3094 3095 3096
0,1112 116 465 955 1113 68 401 1 32 649 2136
0,1 158 217 2137 3097 496 645 2 3098 122 2138 340 3099
0,708 956 9 952 545 1297 642 3100 2139 506 439 3101 3102 1 41 957 1337 2140 53
0,150 124 1 9 1624 247 28 16 313 26 1114 2 51 958 507 316 24 89
0,225 7 1 2141 440 1625 364 488 13 2 1338 9 12 156
0,1 89 1626 179 959 17 3103 17 3104 553
1,652 178 405 178 93 106 15
1,1 2116 65 228 53
1,1339 35 27 3105 1
1,1 3106 3107 1115 214 4 3108 85 1116 6 64 26 2142 214 2143 441 2144 6
1,1340 6 282 359 62 3109 16 1 158 2 199 535 3110 950 192 432 3111 3
1,1 407 810 53 2 3112 2057 2 64 90 640 2080 77 1600 38 3
1,200 26 1 54 3113 132 15
1,222 826 70 718 5 81 62 136 99 108 540 1 2145 58 556 6
1,3114 3115 3116 287 586 5 106 263 721
1,1341 251 508 3117 1 80 3118 1 9 3119 6
1,1 162 5 35 60 151 4 2 21 2 222 45
1,78 104 188 2146 284 114 51 3120 6
1,91 591 5 591 11 466 2147 3
1,583 247 28 16 1627 272 250 554 2058 360 16 84 87 409
1,960 3121 1628 9 17 3122 141 1 1117 99 1628 2148
0,91 79 76 2149 3123 2 289 931 3124 199 653 274 548 279 3
0,1 717 3125 365 827 2150
0,51 1 29 3126 93 556 1342 3
0,1 54 10 1 98 654 11 11 19
0,5 293 60 137 262 293 60 1566 3
1,1 828 717 2150 365 827 3127 365 2 64 26 2151 3128 110 257 9 6
1,1118 46 17 3129 356 949 509 300 2 1343 325 2
1,78 1629 3130 136 1321 5 35 6
1,4 211 57 5 35 60 7 10 631 339 961 56 6
1,106 1119 123 3131 5 35
1,1 634 1344 4
1,50 48 317 100 2152 17 3132 11 19
1,1 245 366 3133 410
1,91 3134 510 3135 3136 133 4 81 3
1,5 35 439 3137 962 597 963 311
1,78 104 1630 3138 406 1345 3139 5 35 6
1,1 223 120 1346 1120 399 161 271 34 142
1,143 829 119 1 29 136 3140 1347 205 1631
1,1348 128 298
1,258 1632 722 1121 1349 92 3141 1633 99 3142 1634
1,72 1350 3143 73 1635 2153 65 153 830 4 6
1,177 11 3144
1,10 650 302 42 45 66 299 124 367 164 3145
1,467 7 1636 29 69 16 1351 2 3146 2 146 3147 2 46 179
1,72 3148 73 1 308 3149 964 1315 10 2154 368
1,1 1352 965 60 5 35 100
1,55 76 237 3150 1102 4
1,1 232 50 48 7 3151 723 2 62 110 16
1,1 9 233 1637 5 2155 360 2156 966
1,2157 191 16 2158 3152 3153 831 21 12 1 651
0,1 204 234 71 12 315 793 708 27
0,21 12 3154 20 1122 1 80 38
0,177 9 1347 52 1353 294 1638 3 967 1123 2 2159 832 3 188 9 38 1 411 459 1607 316 11 100 3
0,1 31 956 9 545 2160 233 1354 53
0,1290 1291 833 968 157 969 1 9 1355
0,47 130 41 1639 3
0,1 114 2 655 1356 120 1346 75 4
0,4 3155 3156 6
0,55 1357 2 1640 834 41 1641 56 21 3 212 3
0,1 9 218 724 226 19 157 1576 835
1,341 110 251 3157 3158 384 1642 128 298 488 4 6
1,13 12 10 3159 1643 16 313 26 915 301 3160 4 113 2 31 511
1,342 7 51 3161 637 598 970 2161
1,200 26 5 283 599 3162 126 6
1,1 74 3163 40 194 963 2162
1,1 538 318 557 656
1,1 235 2163 3164 92 235 3165 67 341 442 2164 1358 3166 3167 6 303 2165 2164 725
1,5 35 100 60 81 15
1,308 336 11 384 42
1,5 35 2 167 45 653 1644 1124 187 1645 40 1644 1124
0,275 237 31 1 9 21 12 337 132 26 74 464 410
0,791 792 379 1 1646 17 3168
0,342 7 512 3169 2 3170 284 2166 1359 803 25 971 383 23 239 3171 3172 3
0,4 81 85 657 150 3173 169
0,1339 223 972 973 9 468 1 29
1,358 63 4 28 85 8 1125 10 928 2167 297 509
1,10 89 219 247 28 16 247 28 85 16 273 2 3174 1647 247 28 12 16 225
1,786 325 225 1648 919 4 28 46 974
1,53 3175 146 2168 37 6
1,658 1649 1 1650 174
0,1112 3176 1079 1113 97 10 1651 3177 633
0,1 59 87 3178 975
0,1 513 3179 16 1 19 2169
0,4 28 121 1652 219 1653 548 3180 1654 84
0,1 31 821 629 3181 287 514 3182 99 369 343 600 303 43 1655 710
1,1 2 117 2 55 832 223 976 3183 3184 37 558
1,2170 3185 1 29 2171 122
1,5 35 100 60 28 293 60 81 15
1,275 9 2100 3186 2172 330 18 3
1,2173 2059 1 1577 2 3187 2 3188 593 19 2 402 1 977
0,4 81 108 311 3189
0,195 1 2107 1623 2174 3190 11 19
0,2175 978 1360 1 154 1361 461
0,3191 13 12 276 252 821 2 3192 327 16 454 13 12 276 252 3193 2 3194 252 54 1083 13 12 64 515 9 154 1656 3
0,1 53 1126 58 1657 340 3195 3196 194 299 3
1,40 117 263 3197 11 19 172 3198 130 90 15 15
1,4 81 138 143 9 10 443 336 28 11 329 355
1,979 591 160 114 3199 2176 191 3
1,1127 145 3200 939 559 375 4 133 1624
1,131 57 2 192 3201 3
0,50 48 3202 111 27 1 232
0,4 81 22 45 2177 20 7 364 297 659 1128 3203
0,275 1129 18 41 1130 44 146 253
0,78 104 62 1 726 11 6
0,660 123 492 601 969 93 1
1,10 250 554 1 212 805 1102 53
1,116 31 128 298 90 727 301 2 188 110 31 469 6
1,5 35 2 9 10 22 980 1658 20 42 597 145 2 370 284 1659 591 2178 189 954 1116 3
1,1 54 5 2179 233 203
1,78 104 51 589 282 11 3204 6
0,13 12 657 956 2 239 1660 1 19 81 102 290 80 44 3 3205 6
0,1 9 96 4 171 41 1661 1662 150 124
0,5 35 60 39 82 100 293 60 1566
0,1 295 205 254 53 310 180 68 1663 386 1664
0,728 1131 829 119 3206 4 917 330
1,1 530 627 301 28 4 113
1,3207 1665 250 4 22 28 85 20 1094 121 6
1,167 45 2180 22 154 1114 20 5 35 2 195 15 15
1,8 140 801 2181 154 25 437 3208 23
1,64 3209 1 1666 532 65 411 490 10 4 288 440 1625 6
1,1 2182 59 3210 3211 602
1,3212 1667 3213 3214 257 14 497
1,227 1 981 1362
1,1 223 21 382 1363 18 560
1,225 7 247 28 16 190 836 357 2 402 10 3215 360 194
1,412 1 7 197 837 22 3216 20 54 336 40 3
1,109 7 22 52 290 20 2183 603 2184
1,1668 7 3217 1 2185 3218 2 729 3219 80
1,487 63 4 28 85 8 982 2085 288 1364 288 720 128 298 2186 1365 595
1,22 1 65 455 182 148 432 3220 1132 3221 3222 470 10 80 319 3 20
1,604 61 5 3223 2187 967 15
1,78 104 41 980 838 9 301 6
1,9 38 3224 3225 13 12 1090 3
1,258 583 3226 85 982 839 554 194 1365 120 30
1,48 1133 1 602 133 7 107 983 3227 1366 88
1,1 241 1669 2 3228 2 40 11 19 3
1,1 3229 137 3230 980 18 52
1,1 375 408 1 1367 2 46 396 444 269
1,40 840 841 11 19 6
1,130 304 1 9 264 163 25 2188 23 71 1134 2 1135 387 442
0,77 471 9 113 7 1 292 2189 12
0,3231 67 25 4 28 2138 1 842 23
0,64 62 187 360 13 6
0,1 32 209 35 141 809 131
0,71 358 4 28 487 24 3232 3233 121 2 10 932 1652 2 10 3234 3
1,1 19 90 256 4 28 1 29 69 113
1,91 2190 1 9 730 2191 1368 466 3235 731 22 20 1
1,1 59 813 2192 61 3
1,61 1 338 7 4 9 1136 3236
1,1 292 2 301 179 248 113 458
0,382 4 28 61 1 1137 3
0,3237 3238 25 15 23 31 2 251 62 1 930 30 10 4 28 3
0,1 26 74 4 28 1670 2 732 34 142 3 1070 413 812 65 828 15
0,22 38 128 298 2193 7 3239 3 2151 2193 7 288 1138 3 20
0,10 30 1139 17 3240
0,3241 1591 978 18
0,357 4 28 344 641 357 147 3242
0,30 93 3243 58 1140 399 1346
0,1369 388 1084 596 10 1370 561
0,413 1371 1 276 151 1372 3244 1671 128 2194 6
1,5 100 90 1672 25 3245 23 929 4 28 9 729 720 128 298
1,3246 413 378 339 605 30 1141 143 707 84 17 1142 6
1,3247 76 119 4 28 85 24 3248 97 930
1,975 2 661 1673 28 1143 561 173 843 76 841 10 37 6
1,984 985 219 362 472 28 561 25 1674 121 23
1,733 24 4 28 159 24 3249
1,1373 2 516 1364 288 1374 595 6 1144 662 3250 844 3
1,443 336 28 9 3251 4 9 734 3 414 500 43 3252 735 204 663 1301 3253 41 4 550 3
1,2098 3254 1375 6
1,91 167 45 11 9 2195 2096 2 1675 2 2196 52 15
1,1 516 68 3255 42 10 5 9 562 3
1,18 12 26 1676 1376 95 3
1,1 31 3256 5 35 52 162 517
1,166 226 114 108 146
1,50 48 31 845 473 1677 1377 473
1,1 3257 13 12 57 128 298 490
1,109 7 971 5 35 2197 165 603 1378 603 90 38 3
1,4 28 400 3258 253 3259 1145
1,4 28 135 311 13 156 193 144
1,5 35 562 3260 43 58 2 320 846 415 2198 5 531 846
0,109 7 4 28 85 3261 2199 329 288
0,5 35 563 1146 1379
0,4 28 24 71 183 4 81 385
0,4 28 85 121 334 3 9 3262 1678 215 841 61 3
0,262 955 4 28 3263 3264 2 518 827 2200 3
0,2201 7 22 72 4 28 83 73 357 824 83 193 3265 3 3266 3267 713 20
0,336 28 664 4 28 329 355 7 9 189 445 3
0,1380 1 32 3
0,3268 245 3269 665 191 321 38 1147 3
0,2202 1381 7 4 28 451 280 1148 4 81 1382 720
1,36 207 18 11 19
1,4 28 174 108 3270 302 2 549 62 128 298 26 2203
1,4 28 1679 360 386 2 1383 3271
1,3272 606 92 2168 279 288 720 451
1,506 1673 1384 75 55 113 15
0,130 561 986 2 3273 3274 564 550 3
0,987 607 608 715 4 28
0,1 736 180 3275 737 3276 2 89 31
0,94 3277 288 128 154 67
0,1 9 5 1680 60 563 1080 1681 165 4 28 85 57
1,155 95 55 22 13 12 20 297 235 389
1,65 138 42 5 35 24 309 1385 32 3278
1,489 4 28 308 1 19 464 38
1,160 1682 362 1116 398 37
1,71 1 19 2204 157 416 7 89
0,29 1 29 135 69 3279 827 398 3280 72 68 73 24 946
0,843 2205 7 1 411 593 3281 406 191 4 982 27 3
0,130 230 35 718 3282 238 13 3
0,607 608 666 81 85 2 28 85 2 3283 3284
0,738 181 192 1386 1149 847 1683 3 4 28 85 2 3
1,1 32 2 474 245 3285 368 6
1,1 171 848 292 3286 252 667 18 2206
1,738 173 371 38 358 564 28 85
1,5 1680 94 3287 4 28 85 9 849 1684 3 94 3288 137 702 388
1,632 104 231 987 1387 241 3289 1 730 12 156 560 6
1,68 1685 3290 4 28 796 503 128 490 90 2207 3 1686 68 2208 10 1 519 1687 2209 434 2 1150 3291 378 720 1688 1388 58 3 25 3292 7 8 15 23
1,632 104 1389 36 207 26 516 371 405 6 1390 42 470 77 18 3
1,1391 223 1 565 2210 16 10 18 80
1,1689 2 119 167 45 27 2 9 1151 3293 3294 58 3 27 2 114 75 22 834 815 20
1,2211 3295 1 29 3296 1690 105 29 2147 169
1,1105 1 19 169 382 4
1,1 609 1691 10 1392 3297 299 1692
1,3298 3 299 2212 1 32 430 208 264 2213 71 739 32 740
1,26 1152 376 21 6 6 6
1,91 741 76 76 5 35 187 630
0,5 35 1393 5 531 2 1618 43 3
0,3299 3300 2214 1 988 2215 240 3301 512 3302
0,1 249 3303 372 252 46 566 13 12 2 89 1693 1694 390
0,441 4 2216 3304 3305 2131 130 2217 2218 742 280 603 231 114 26 176 67 2216 2 70 1153 28 43 3306 414 321 186 3
0,342 7 167 45 106 520 25 1154 3307 23
1,305 1695 1 19 610 1 80 3308 44 15
1,3309 54 10 1 98 11 8 1126 521 1696 1394
1,1 850 1697
1,4 28 24 3310
1,1 2219 155 3311 496 4 2 3312 231 2220 3313 851 3314 416 6 200 26 187 1395 75 27 3
0,417 183 989 193 310 180 76 62 37
0,990 611 10 4 391 3
0,130 4 561 54 95 2 65 95 1698 2221 1660 3 1155 668 118 839 1156 15
0,417 90 77 1140 150 124 3
0,2222 1699 13 12 46 75 102 2 406 89 1700 372 252 46
0,506 149 55 113 1384 15 7 23
0,109 7 13 56 9 3315 3316 2223 6 1 431 454 83 2224 13 13 12 84 105 743 324 27 501 274 446 2 65 27 252 835 2 669 25 75 3317 2 23 3318 271 3
0,9 744 3319 30 6 251 62 192 65 3320 1157 3
0,258 1 205 586 92 386 991 414 1158 56
0,5 35 76 11 391 2225 330 65 9 828
0,61 852 111 27 201 3321 129 101 25 3322 24 3323 23
0,4 28 3324 2226 55 1159 320 992
0,123 62 4 271 22 1141 20
0,72 52 1143 192 3325 73 9 231 392 431 1701 1333 137 95 202 13 12 6
0,36 207 459 1702 612 139 1160 18
1,659 2175 2227 2228 18 497 567 262 2108 2229 3326
1,1703 1704 87 18
1,1 588 1705 11 19
1,1396 131 3
1,1 9 163 468 221 223 1397 670 47 2 158 2 139 2 127
0,126 5 35 3327 2 1706 172 439 45 58 3 370 2230 3328 3
0,1 9 10 3329 671 508
0,192 1707 1398 40 297 209 1327 2 26 89 194 5 789 6
0,9 306 4 57 56 3330 371 3
0,544 148 2231 944 632 140 4 3 28
1,91 2 200 26 51 139 3331 3332 2232 101 1 387 3 1591 55 495 3
1,4 28 4 28 85 159 7 3333 1128
1,5 35 562 321 505 58 2 311 846 1161 5 52
1,921 45 66 1107 2233 83 3 64 515 2 271 41 3334 3335 126 1708 3 663 1399 3 45 66 286 3
1,2234 2 192 336 28 3336 1659 4 5 345 74 1709 3
0,1 7 1705 100 321 269 2 745 40 2 414 993 2235 159
0,91 2236 435 11
0,785 4 28 28 85 1400 1294 786 84 3
0,78 104 987 1387 47 2 1706 18 6
0,1710 307 41 47 1162 636 22 3337 20 3
0,1668 7 47 1711 6
0,207 57 2 246 106 931 217 358 358 124 418 2 177 287
0,68 306 1 9 10 337 13 337 1163 132 3338 746 2075 113 3 3339 2237 2 994 703 3
0,1712 336 28 2 131 559 3 231 4 561
0,1681 165 3340
1,138 140 3341 3342 4 28 24 112 2238 1713 2 799 3343 17 500 125 371 3 1714 636 3344 26 181 3345 853 3
1,1 2 1715 1401 209 126 3
1,632 104 2239 1716 1717 47 359 62 933 284 6
1,2240 3346 3347 1705 100 8 375 2235 269
1,1 63 2241 8 3348 3349 854 277 169 2242 1 19
0,1718 144 337 150 1402 2 1153 1719 1720 3 3350 74 2243 384 2 1403 585 747 384 3 47 74 1404 15
0,1 1164 233 3351 4 83 84 19
0,1386 22 3352 20 227 543 3353 3
0,1165 1405 2244 280 4 28
0,1 1166 4 151 372 1167 13 156 252 3354
1,1 1721 3355 3356 77 3357 3358 2 1722 1406 101 393 10 1723 2 2 271 563 855 584 2 596 110 3359 1168 3
1,4 28 128 2186 2245
1,1 2246 339 3360 492 74 47 508 1711
1,467 7 1 1348 143 336 28 3361 2 748 3362 141 57 272 4 28
1,112 41 1 113 672 61 25 3363 252 179 23
0,89 7 10 13 12 70 87 102 949 259 117 1169 2 3364 156 1090
0,78 104 9 3365 3366 41 856 857 4 81 56 6
0,1 295 205 386 362 93 83
0,341 432 1396 364 315 316 291 93 6
0,9 1390 1 2247 250 215 193 568 6
0,914 43 63 3367 8 1 419 521 407 198 1170 2 31 1
0,1 234 46 10 18 252 995 113
0,1407 600 18 148
0,673 7 195 1 235 3 2248 9 82 18 3
0,1 2 143 2 333 3368 7 22 3369 75 38 475 3370 136 2 674 7 333 136 515 37 8 3371 3 20
1,412 1 2 417 1092 166 226 1408 996 68 997 3 197 116 1408 32 1724 3
1,1 252 2249 113 396
1,3372 129 101 16 183 932 3 367 2250 3 129 2251 191 3373 78 104 3
1,78 840 310 749 284 221 286 56 126 227 11 6
1,475 453 17 208 141 3374 3375 2214 3376 340 1 59
0,1 9 3377 16 4 161 2252 642 2 31 3378 447
0,13 419 606 7 2253 3379 279 1 9 299 451
0,2254 7 1407 219 18 17 3380 508 675 438
0,5 1725 71 3381 2255 130 858 3382 3383 966 3
0,26 726 11 41 1616 3384 5 35 6
1,1 54 5 1680 10 1681 165 4 28 85
1,324 10 18 315 915 2256 1726 1727 256 1 8 63 2257 8 113 1728
1,138 105 5 35 1708 462
1,1101 1 3385 10 613 859 1728 2 426 1409 2258 476 174 125 321 998 3 1409 26 2259 3386 2 3387 3
1,110 1729 30 1730 111 569 34 142 6
1,341 153 10 650 2260 360 6
1,1703 1704 190 18 324 95 438 54 2 82 919 17 804
1,433 3388 3389 129 101 117 222 468 1365 155 222 860 3390 222 71 999 3
1,972 973 7 22 285 2261 1171 120 254 223 1731 341 27 20
1,77 522 570 7 1 292 2189 25 372 179 23
1,275 317 147 1145 7 571 808
1,548 10 13 12 1163 3391 487 36 207 3392
1,795 3393 53 18 1594 1 19 41 3394 3395 861 102 3396 3397 3398
1,50 48 7 22 26 140 20 79 199 243 492
1,4 28 85 2252 55 9 1159 3399 329 355 666
0,1 19 476 15
0,78 104 251 9 38 21 41 3400 257 6
0,1 572 614 2262 2 8 3401 252
0,275 3402 61 2 471 9 292 2263 65 1732 292 125 27 67
0,1 146 2264 3403 420 61
0,22 93 67 1335 451 521 20 3404 179
0,116 9 335 184 67
0,1733 1081 729 1140 440 2 285 1410 200 26 51 4 28 128 10 13 12 6
0,50 48 7 22 188 394 82 413 20 615 149 98 11 3
0,25 594 23 327 20 13 12 1073 3405 3406
0,192 3407 13 12 57 2 192 3408
0,3409 862 3410 179 13 12
0,1 116 5 100 2265 3411 331 1411 446
0,201 285 2266 202 129 101 863 74 864 3412 2 9 865 2267
0,215 417 750 108 1 744 463 473 3
0,52 7 65 3413 2268 2269 1 19 3414 102 3
0,866 1000 7 22 8 3415 27 1 460 221 1172 161 18 3 540 123 62 3 801 2 10 13 12 3416 244 1734 372 216 70 8 161 1 94 79 3 20
0,30 460 46 2270 96
0,570 10 13 12 84 3417 397 220 184 2 2248 867
0,259 254 2 192 2271 1 378 3418 3
1,380 1590 159 7 17 3419 179 13 12 675 13 156 279
1,1412 45 134 10 650 799 1134 1172 196 1163 132 3
1,341 1 19 169 868 1718 3420 340 1 19 11 3 8 477 1413 346 1173 2269 3421 6 1413 6
1,662 252 751 2 1 9 30 1174 752 46 27 2 390 31
1,5 35 2 78 104 840 869 1735 284 3422 206 6
0,41 2239 166 226 5 35 155 474 95 3
0,3423 1339 3424 264 6
